Summary Level	Geographic Component	State FIPS	Place FIPS	County FIPS	Tract	Zip	Block	Name	Latitude	Longitude	Land Area	Water Area	Population	Housing Units
80	0	6	562	1	427100			Census Tract 4271	37.764728	-122.23079	982120	192938	3497	1450
80	0	6	562	1	427200			Census Tract 4272	37.772478	-122.248837	1351783	634506	4221	1725
80	0	6	562	1	427300			Census Tract 4273	37.780178	-122.269745	1961371	827937	4760	2139
80	0	6	562	1	427400			Census Tract 4274	37.786399	-122.286045	1835659	214785	1252	583
80	0	6	562	1	427500			Census Tract 4275	37.784279	-122.301242	6628359	8707404	545	409
80	0	6	562	1	427600			Census Tract 4276	37.777161	-122.285451	586456	0	5079	1765
80	0	6	562	1	427700			Census Tract 4277	37.772328	-122.284629	1014041	2860905	5130	2532
80	0	6	562	1	427800			Census Tract 4278	37.771878	-122.269829	842916	0	4715	2133
80	0	6	562	1	427900			Census Tract 4279	37.770378	-122.258813	886114	0	4658	2254
80	0	6	562	1	428000			Census Tract 4280	37.766928	-122.247979	541588	0	2901	1406
80	0	6	562	1	428100			Census Tract 4281	37.759428	-122.23506	991805	28854	4490	2066
80	0	6	562	1	428200			Census Tract 4282	37.755461	-122.239738	1379411	689270	6132	2754
80	0	6	562	1	428301			Census Tract 4283.01	37.733199	-122.240056	4357043	5255781	6247	2503
80	0	6	562	1	428302			Census Tract 4283.02	37.743727	-122.24778	2196612	608733	7451	2714
80	0	6	562	1	428400			Census Tract 4284	37.760278	-122.250079	820793	3139138	4496	2020
80	0	6	562	1	428500			Census Tract 4285	37.761195	-122.260803	686674	3817941	3298	1559
80	0	6	562	1	428600			Census Tract 4286	37.765478	-122.269008	897637	4543978	3387	1632
80	0	6	6000	1	423300			Census Tract 4233	37.857976	-122.283798	712101	0	3468	1580
80	0	6	6000	1	423400			Census Tract 4234	37.857726	-122.277034	738506	0	4653	2096
80	0	6	6000	1	423500			Census Tract 4235	37.858976	-122.268958	618650	0	2967	1422
80	0	6	6000	1	423601			Census Tract 4236.01	37.859326	-122.258775	519468	0	2700	1308
80	0	6	6000	1	423800			Census Tract 4238	37.855226	-122.245142	1055276	0	3120	1389
80	0	6	6000	1	423901			Census Tract 4239.01	37.852176	-122.268067	375382	0	1942	890
80	0	6	6000	1	423902			Census Tract 4239.02	37.854526	-122.258142	336986	0	1553	794
80	0	6	6000	1	424001			Census Tract 4240.01	37.849726	-122.275481	494900	0	3875	1578
